,school name,zipcode,student size,pell grant rate,average faculty salary,fulltime faculty rate,admission test requirements,completion rate in 4 years (hawaiian or pacific islander),completion rate in 4 years (american indian),completion rate in 4 years (asian),completion rate in 4 years (hispanic),completion rate in 4 years (black),completion rate in 4 years (white),total student demographic (white),total student demographic (hispanic),total student demographic (black),total student demographic (american indian),total student demographic (female),total student demographic (male),median debt for income 30001_75000,median debt for income 0-30000,median debt for income greater than 75000,median debt for noncompleters,median debt for completers,median debt for male students,median debt for independent students,median debt for female students,median debt for dependent students,faculty demographic (white),faculty demographic (2 or more race or ethnicity),faculty demographic (unknown race or ethnicity),faculty demographic (hawaiian or pacific islander),faculty demographic (hispanic),faculty demographic (black),faculty demographic (asian),faculty demographic (american indian),latest.student.share_25_older
364,Musicians Institute,90028,744.0,0.1936,2543.0,0.3011,2.0,1.0,0.0,0.75,0.5161,0.2222,0.4697,0.2675,0.1116,0.0685,0.0054,0.2742,0.7258,6334.0,6334.0,5501.0,0.0,0.0,6334.0,6334.0,7438.0,5833.0,0.8302,0.0566,0.0,0.0,0.0189,0.0377,0.0566,0.0,0.3982
365,Napa Valley College,94558-6236,3777.0,0.187,9802.0,0.3813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2483,0.4692,0.0511,0.0029,0.5986,0.4014,0.0,9187.0,0.0,9133.0,10147.0,9333.0,9500.0,9461.0,5500.0,0.614,0.0088,0.0088,0.0,0.2368,0.0439,0.0614,0.0263,0.2961
366,National Holistic Institute,94608-2008,1201.0,0.5698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3389,0.2348,0.1049,0.0158,0.7585,0.2415,9500.0,9500.0,8750.0,4750.0,9500.0,9500.0,9500.0,9500.0,5500.0,0.3091,0.1091,0.4727,0.0,0.0545,0.0182,0.0364,0.0,0.8776
367,National University,92123,7160.0,0.1654,10145.0,0.09,3.0,0.0,0.0,0.0,0.5714,1.0,0.2857,0.3272,0.3068,0.1041,0.0061,0.5179,0.4821,18664.0,20000.0,18000.0,10500.0,25000.0,18252.0,20057.0,19683.0,13863.0,0.6329,0.0633,0.0802,0.0,0.0633,0.0759,0.0844,0.0,0.8218
368,Naval Postgraduate School,93943,0.0,0.0,14550.0,0.8759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8518,0.0047,0.0118,0.0071,0.0376,0.0071,0.0776,0.0024,0.0
369,Newschool of Architecture and Design,92101,301.0,0.4318,6756.0,0.0917,3.0,0.0,0.0,1.0,0.4444,0.0,0.4615,0.392,0.0,0.0764,0.0299,0.412,0.588,11141.0,30053.0,23000.0,12537.0,31000.0,26907.0,25000.0,19200.0,20833.0,0.8,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.3654
370,North Adrian's College of Beauty Inc,95350-2381,221.0,0.4195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3529,0.4615,0.1086,0.0,0.9367,0.0633,0.0,9500.0,0.0,7750.0,11000.0,9500.0,9500.0,9500.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3484
371,North-West College-Pomona,91768,190.0,0.6825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0895,0.3842,0.0684,0.0263,0.9053,0.0947,9500.0,9500.0,5500.0,4750.0,9500.0,9475.0,9500.0,9500.0,5500.0,0.1538,0.1538,0.0769,0.0,0.3846,0.0769,0.1538,0.0,0.5579
372,North-West College-West Covina,91790,384.0,0.613,6683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3229,0.1484,0.0365,0.0365,0.8802,0.1198,9500.0,9500.0,5500.0,4724.0,9500.0,9500.0,9500.0,9500.0,5857.0,0.2143,0.0714,0.0,0.0,0.4286,0.1429,0.1429,0.0,0.5547
373,North-West College-Van Nuys,91411,171.0,0.4858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0877,0.614,0.0936,0.0058,0.8596,0.1404,7969.0,8555.0,5500.0,3701.0,9500.0,5500.0,9500.0,8839.0,5500.0,0.0,0.3333,0.0,0.0,0.0,0.6667,0.0,0.0,0.614
374,San Francisco Bay University,94539,6.0,0.0,5463.0,0.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3333
375,Notre Dame de Namur University,94002-1908,0.0,0.3981,8407.0,0.1481,0.0,0.75,0.0,0.56,0.5412,0.4545,0.7273,0.0,0.0,0.0,0.0,0.0,0.0,17500.0,18750.0,12000.0,11000.0,25000.0,14000.0,22550.0,17500.0,13375.0,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
376,Occidental College,90041-3392,1952.0,0.1811,11376.0,0.7608,5.0,1.0,0.0,0.7714,0.7802,0.875,0.8519,0.4698,0.1578,0.0456,0.0,0.5789,0.4211,17500.0,19000.0,19248.0,9080.0,23000.0,17250.0,0.0,19305.0,0.0,0.5567,0.0103,0.1082,0.0,0.1134,0.0567,0.1495,0.0,0.0041
377,Ohlone College,94539-0390,6929.0,0.1173,12336.0,0.2857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152,0.2465,0.0333,0.0009,0.5084,0.4916,0.0,9500.0,0.0,9000.0,0.0,9500.0,0.0,8500.0,0.0,0.4667,0.0,0.0667,0.0,0.1583,0.0583,0.2333,0.0083,0.2913
378,Orange Coast College,92626,15761.0,0.2073,11727.0,0.3485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3012,0.3341,0.0169,0.0024,0.5165,0.4835,5500.0,7465.0,4500.0,5519.0,9500.0,5717.0,9173.0,6782.0,4500.0,0.6808,0.0077,0.0115,0.0038,0.1308,0.0308,0.1,0.0,0.2865
379,Otis College of Art and Design,90045-3505,1191.0,0.367,8226.0,0.1374,5.0,0.0,0.0,0.74,0.75,0.7692,0.6364,0.2208,0.2007,0.0537,0.0017,0.6969,0.3031,19500.0,21500.0,19399.0,8250.0,27000.0,19750.0,25000.0,20000.0,19500.0,0.6383,0.0213,0.0638,0.0,0.1064,0.0213,0.1277,0.0213,0.0969
380,Oxnard College,93033-6699,5789.0,0.3244,9236.0,0.4087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147,0.7329,0.0202,0.0017,0.5535,0.4465,0.0,7500.0,0.0,0.0,0.0,7750.0,0.0,7333.0,0.0,0.4757,0.0194,0.0097,0.0097,0.3107,0.0583,0.0971,0.0,0.3082
381,Hope International University,92831-3199,619.0,0.4855,5666.0,0.1632,5.0,0.0,0.5,1.0,0.2759,0.5,0.3235,0.3489,0.2504,0.0889,0.0097,0.5557,0.4443,15072.0,17750.0,15000.0,8756.0,23000.0,14000.0,23000.0,16948.0,14568.0,0.8235,0.0,0.0,0.0,0.0588,0.0882,0.0294,0.0,0.1826
382,Concorde Career College-San Diego,92113-1964,735.0,0.6162,6707.0,0.5584,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0694,0.2816,0.0422,0.0027,0.7837,0.2163,9500.0,9500.0,9500.0,4750.0,9500.0,9500.0,9500.0,9500.0,5500.0,0.3889,0.0,0.0,0.0,0.2222,0.1667,0.1667,0.0556,0.5524
383,Palo Alto University,94304-1337,64.0,0.4211,13014.0,0.6071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2656,0.2188,0.0313,0.0,0.7813,0.2188,0.0,23656.0,0.0,0.0,20500.0,0.0,0.0,0.0,0.0,0.7451,0.0,0.0,0.0,0.0588,0.0588,0.1373,0.0,0.75
384,Pacific Oaks College,91103,479.0,0.5907,6109.0,0.1121,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142,0.5762,0.1148,0.0063,0.9102,0.0898,21976.0,23570.0,25032.0,12500.0,29105.0,21250.0,24507.0,23570.0,14375.0,0.36,0.0,0.0,0.0,0.16,0.44,0.0,0.04,0.9061
385,Pacific School of Religion,94709,0.0,0.0,8047.0,0.5652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.1,0.0,0.1,0.0,0.4,0.0,0.0
386,Pacific States University,90010-2263,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
387,Pacific Union College,94508-9707,799.0,0.399,6281.0,0.9452,2.0,0.75,1.0,0.5082,0.3803,0.1667,0.4038,0.214,0.3129,0.0688,0.0025,0.6258,0.3742,19750.0,21482.0,19500.0,12500.0,27500.0,20001.0,17750.0,19500.0,20001.0,0.4615,0.3231,0.0615,0.0,0.0615,0.0308,0.0615,0.0,0.2194
388,University of the Pacific,95211-0197,3269.0,0.372,11095.0,0.4977,5.0,0.6,0.7143,0.7417,0.6667,0.5769,0.6533,0.2095,0.245,0.0401,0.0028,0.5255,0.4745,18000.0,19500.0,15000.0,12000.0,19500.0,17793.0,25000.0,17500.0,16250.0,0.6585,0.0122,0.0073,0.0024,0.061,0.0341,0.1878,0.0024,0.0635
389,Palo Verde College,92225,3734.0,0.0327,9259.0,0.3628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4068,0.3838,0.0876,0.011,0.1082,0.8918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4167,0.1111,0.0,0.0,0.3611,0.0,0.0833,0.0278,0.863
390,Palomar College,92069-1487,13873.0,0.1642,11401.0,0.3105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3601,0.4497,0.0274,0.0054,0.4852,0.5148,3500.0,4000.0,3500.0,3500.0,0.0,3500.0,4500.0,3500.0,3500.0,0.6812,0.0217,0.0471,0.0,0.1413,0.0254,0.0688,0.0145,0.3313
391,Pasadena City College,91106-2003,19090.0,0.2872,9542.0,0.5163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1554,0.4858,0.035,0.001,0.5456,0.4544,6000.0,6500.0,4767.0,6000.0,6651.0,6687.0,8175.0,6000.0,4500.0,0.5059,0.0422,0.0398,0.0375,0.2108,0.0703,0.0679,0.007,0.323
392,Pepperdine University,90263,3706.0,0.1856,12961.0,0.4575,5.0,1.0,0.75,0.8462,0.8431,0.9231,0.8251,0.4649,0.1754,0.0453,0.0016,0.5766,0.4234,20500.0,21975.0,19500.0,9250.0,23510.0,18713.0,35027.0,20500.0,19500.0,0.7282,0.0194,0.0097,0.0,0.0801,0.0583,0.0874,0.0,0.0547
393,Pitzer College,91711-6101,1168.0,0.1399,11766.0,0.9899,3.0,0.0,1.0,0.9143,0.9412,0.8667,0.8512,0.5009,0.1267,0.0479,0.006,0.5865,0.4135,12911.0,12750.0,14000.0,8000.0,16750.0,15440.0,0.0,11950.0,0.0,0.4316,0.0632,0.1895,0.0,0.1579,0.0421,0.1053,0.0105,0.0223
394,Platt College-San Diego,92115-3919,64.0,0.4063,5029.0,0.3125,0.0,0.0,0.0,0.0,1.0,0.5,0.8333,0.3438,0.2656,0.1563,0.0,0.2813,0.7188,0.0,16146.0,0.0,0.0,15895.0,14659.0,18469.0,16451.0,13142.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.5
395,Point Loma Nazarene University,92106-2899,3170.0,0.2646,10559.0,1.0,5.0,0.8889,0.5,0.7778,0.7267,0.7273,0.7358,0.5268,0.2675,0.0189,0.0032,0.6571,0.3429,19250.0,18548.0,19688.0,15000.0,22990.0,19000.0,18750.0,19500.0,19500.0,0.766,0.0355,0.0284,0.0,0.0638,0.0284,0.078,0.0,0.1497
396,Pomona College,91711-6319,1747.0,0.2138,13749.0,0.9417,5.0,1.0,0.0,0.9483,0.9437,0.9744,0.9015,0.3429,0.1603,0.0882,0.0029,0.5455,0.4545,6500.0,5500.0,12000.0,7374.0,11782.0,9000.0,0.0,10500.0,0.0,0.4578,0.0133,0.1644,0.0,0.1422,0.0711,0.1422,0.0,0.0068
397,Porterville College,93257,2725.0,0.3681,10356.0,0.3789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1512,0.7761,0.0099,0.0066,0.6422,0.3578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5972,0.0139,0.0417,0.0,0.2222,0.0278,0.0833,0.0,0.2617
398,Professional Institute of Beauty,91731,137.0,0.4675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0219,0.7518,0.0,0.0,0.9635,0.0365,0.0,0.0,0.0,0.0,3001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7956
399,Santa Ana College,92706-3398,20846.0,0.1426,11543.0,0.2763,0.0,0.0,0.0,0.5222,0.2392,0.2353,0.3944,0.1982,0.5193,0.0145,0.0022,0.4003,0.5997,6394.0,5563.0,5375.0,5500.0,6871.0,5500.0,7500.0,6322.0,3500.0,0.4754,0.0,0.0533,0.0,0.2582,0.0246,0.1598,0.0082,0.552
400,Pardee RAND Graduate School,90401-3208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401,Shasta School of Cosmetology,96003,116.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6897,0.1638,0.0345,0.0259,0.8707,0.1293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4914
402,University of Redlands,92373-0999,2596.0,0.3459,10501.0,0.9771,5.0,0.75,0.5,0.6667,0.7,0.5556,0.6977,0.379,0.4049,0.0447,0.0081,0.5917,0.4083,23000.0,20656.0,20500.0,12500.0,26000.0,21000.0,27597.0,21500.0,19500.0,0.6834,0.005,0.0704,0.0,0.0603,0.0402,0.1357,0.005,0.146
403,College of the Redwoods,95501-9300,2947.0,0.3197,7971.0,0.2313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5124,0.2457,0.038,0.0397,0.5341,0.4659,6799.0,6837.0,5500.0,6500.0,8080.0,6125.0,8080.0,7297.0,5500.0,0.9143,0.0143,0.0143,0.0,0.0429,0.0,0.0143,0.0,0.474
404,Salon Success Academy-Upland,91786,194.0,0.5777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1907,0.6804,0.0155,0.0052,0.9227,0.0773,7177.0,7013.0,7177.0,3588.0,7177.0,7177.0,7141.0,7116.0,4155.0,0.3333,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.4278
405,Salon Success Academy-Corona,92881,187.0,0.5188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1765,0.6043,0.123,0.0,0.984,0.016,7177.0,7177.0,4155.0,3588.0,7177.0,0.0,7177.0,0.0,4156.0,0.25,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.3583
406,Rio Hondo College,90601-1616,13960.0,0.2162,10993.0,0.3486,0.0,0.0,0.0,0.525,0.225,0.0,0.3684,0.0552,0.8069,0.0168,0.0017,0.4383,0.5617,0.0,4750.0,0.0,4500.0,5500.0,4459.0,4976.0,4750.0,3500.0,0.4272,0.0146,0.0194,0.0049,0.3544,0.0291,0.1165,0.0049,0.4001
407,Riverside City College,92506,15516.0,0.2961,12244.0,0.3589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542,0.6534,0.0715,0.0021,0.6023,0.3977,5450.0,6848.0,4500.0,5250.0,8000.0,5250.0,9000.0,6000.0,4500.0,0.6142,0.0262,0.0,0.0,0.2097,0.0712,0.0524,0.0,0.2737
408,Dongguk University Los Angeles,90020-1704,2.0,0.0,5359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
409,Sacramento City College,95822-1386,16654.0,0.251,9471.0,0.4366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2679,0.3115,0.0859,0.0046,0.615,0.385,8631.0,9492.0,5500.0,9000.0,10500.0,9299.0,9500.0,9222.0,5500.0,0.5874,0.0455,0.0385,0.0035,0.1154,0.0979,0.0979,0.0105,0.3927
410,Saddleback College,92692-3635,15431.0,0.1275,11775.0,0.2735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4613,0.2869,0.0234,0.0026,0.5574,0.4426,5713.0,8750.0,4650.0,6125.0,9500.0,6500.0,9500.0,7000.0,5057.0,0.6611,0.0,0.0879,0.0209,0.1172,0.0167,0.046,0.0042,0.3257
411,Samuel Merritt University,94609,677.0,0.1726,11127.0,0.5042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2467,0.2186,0.096,0.0,0.7932,0.2068,20825.0,20825.0,20825.0,19375.0,20825.0,20825.0,20825.0,20825.0,15651.0,0.6978,0.0275,0.0769,0.0055,0.022,0.0714,0.0934,0.0055,0.7981
412,San Diego City College,92101-4787,10852.0,0.1744,9301.0,0.3413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2541,0.4525,0.0869,0.0037,0.5684,0.4316,0.0,5051.0,0.0,4500.0,7689.0,4500.0,4500.0,4500.0,3798.0,0.4737,0.0,0.1287,0.0,0.1813,0.1053,0.0994,0.0117,0.4152
413,San Diego Mesa College,92111-4998,15217.0,0.1283,9161.0,0.3574,0.0,0.5333,0.3333,0.542,0.2321,0.1951,0.3573,0.2903,0.3978,0.0612,0.0029,0.5629,0.4371,3645.0,4500.0,3500.0,3500.0,4725.0,4500.0,4500.0,4354.0,3500.0,0.5397,0.0,0.131,0.004,0.1389,0.0675,0.1071,0.0119,0.3477
414,San Diego Miramar College,92126-2999,10881.0,0.111,8978.0,0.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3439,0.319,0.0484,0.003,0.4591,0.5409,4000.0,4500.0,3500.0,3500.0,6750.0,4334.0,4500.0,4072.0,3500.0,0.5476,0.0,0.1587,0.0,0.127,0.0317,0.1349,0.0,0.4344
415,San Diego State University,92182-0001,30991.0,0.3245,10936.0,0.5018,3.0,0.8333,0.5789,0.8209,0.7486,0.7426,0.7937,0.3436,0.3368,0.0418,0.0027,0.5688,0.4312,12500.0,12441.0,14996.0,8500.0,15000.0,12998.0,12500.0,12676.0,12998.0,0.582,0.0143,0.0594,0.0,0.1168,0.04,0.127,0.0092,0.1309
416,University of San Diego,92110-2492,5601.0,0.1801,12520.0,0.4958,3.0,0.5,0.7143,0.85,0.8158,0.6809,0.8143,0.486,0.2337,0.0339,0.0029,0.5615,0.4385,19911.0,20010.0,18000.0,9721.0,22940.0,18500.0,18750.0,19500.0,19068.0,0.6754,0.014,0.014,0.0,0.1182,0.0481,0.1022,0.004,0.0454
417,San Francisco Art Institute,94133-2299,26.0,0.2692,9284.0,0.56,0.0,0.0,0.0,0.1667,0.2778,0.25,0.2813,0.4231,0.2308,0.0385,0.0385,0.5385,0.4615,15625.0,14500.0,8500.0,9813.0,24250.0,12750.0,19000.0,12000.0,12000.0,0.7143,0.0,0.0,0.0,0.2143,0.0714,0.0,0.0,0.3571
418,San Francisco Conservatory of Music,94102-6011,228.0,0.1029,14965.0,1.0,3.0,0.0,0.0,0.6667,1.0,1.0,0.8182,0.386,0.1096,0.0351,0.0,0.4079,0.5921,0.0,0.0,19500.0,12000.0,27000.0,26750.0,0.0,16875.0,0.0,0.8387,0.0323,0.0,0.0,0.0323,0.0645,0.0323,0.0,0.0789
419,San Francisco State University,94132,22563.0,0.4258,10761.0,0.4808,3.0,0.3636,0.3333,0.627,0.4896,0.4322,0.5326,0.1568,0.3741,0.0586,0.0016,0.5536,0.4464,12500.0,13145.0,13000.0,9852.0,15371.0,12753.0,15250.0,12921.0,12000.0,0.538,0.0184,0.0449,0.0046,0.0645,0.0392,0.2408,0.0127,0.2018
420,University of San Francisco,94117-1080,5937.0,0.2871,13123.0,0.4132,5.0,0.8,0.5,0.8309,0.83,0.6739,0.6885,0.2395,0.2062,0.0655,0.001,0.6453,0.3547,19308.0,19500.0,18500.0,7625.0,23000.0,18486.0,24425.0,19500.0,18750.0,0.5459,0.0358,0.0828,0.0022,0.1141,0.0425,0.1633,0.0022,0.063
421,San Joaquin College of Law,93612-1312,0.0,0.0,9933.0,0.2333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7143,0.0,0.0,0.0,0.2857,0.0,0.0,0.0,0.0
422,San Joaquin Delta College,95207,13242.0,0.2364,10510.0,0.4755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1674,0.4924,0.0645,0.0026,0.596,0.404,6497.0,7500.0,4625.0,7000.0,7500.0,7168.0,9500.0,7000.0,4500.0,0.4721,0.0,0.2017,0.0086,0.1588,0.073,0.0815,0.0043,0.2746
423,San Joaquin Valley College-Visalia,93291-9283,2124.0,0.5422,6384.0,0.3557,0.0,0.0,0.3333,0.4375,0.325,0.1755,0.327,0.2189,0.5541,0.0725,0.0132,0.7392,0.2608,9500.0,10118.0,9500.0,4750.0,10674.0,10235.0,10550.0,9699.0,7667.0,0.6415,0.0566,0.0377,0.0,0.2264,0.0377,0.0,0.0,0.708
424,San Joaquin Valley College-Bakersfield,93309-2659,788.0,0.6074,5721.0,0.3288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1916,0.6371,0.047,0.0102,0.717,0.283,9500.0,10118.0,9500.0,4750.0,10674.0,10235.0,10550.0,9699.0,7667.0,0.4583,0.0833,0.0417,0.0,0.25,0.0417,0.125,0.0,0.5105
425,William Jessup University,95765-3707,1195.0,0.372,7439.0,0.2379,2.0,0.0,0.5,0.4,0.4545,0.5,0.7105,0.4678,0.2276,0.0494,0.0126,0.5782,0.4218,13567.0,14125.0,15000.0,9500.0,23700.0,12667.0,12667.0,15000.0,15000.0,0.7347,0.0204,0.0816,0.0,0.0204,0.0816,0.0612,0.0,0.2514
426,San Jose City College,95128-2798,6076.0,0.1556,14320.0,0.4026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1149,0.4832,0.0528,0.0012,0.5969,0.4031,0.0,5250.0,0.0,5500.0,0.0,6750.0,5833.0,4750.0,4500.0,0.3145,0.0484,0.0242,0.0,0.2742,0.0565,0.2581,0.0161,0.4159
427,San Jose State University,95192-0001,28190.0,0.3689,10570.0,0.4384,3.0,0.8182,1.0,0.7923,0.5878,0.6341,0.654,0.1304,0.2991,0.0367,0.0009,0.4889,0.5111,11500.0,12000.0,13000.0,12000.0,15000.0,12500.0,13891.0,12000.0,11250.0,0.4845,0.0232,0.0951,0.0011,0.073,0.0354,0.2246,0.0077,0.1726
428,College of San Mateo,94402-3784,5553.0,0.0903,11474.0,0.4724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2512,0.3205,0.0288,0.0013,0.5068,0.4932,4875.0,8407.0,6500.0,5500.0,14695.0,5500.0,9375.0,8000.0,5500.0,0.5325,0.013,0.0325,0.0065,0.1494,0.0649,0.1948,0.0,0.3013
429,Santa Barbara Business College-Bakersfield,93309,9.0,0.1414,0.0,0.0,0.0,0.0,0.5,0.0,0.6786,0.5,0.5,0.1111,0.6667,0.1111,0.0,0.7778,0.2222,0.0,10656.0,0.0,6203.0,16576.0,14088.0,13896.0,11644.0,10196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
430,Santa Barbara City College,93109-2394,10570.0,0.1971,9861.0,0.3927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4088,0.3743,0.0232,0.0031,0.5767,0.4233,7500.0,9500.0,5500.0,8000.0,11000.0,7853.0,9864.0,9000.0,5500.0,0.64,0.0,0.0267,0.0044,0.2,0.0356,0.0356,0.0222,0.2547
431,Santa Clara University,95053,5887.0,0.1063,13444.0,0.6682,5.0,1.0,1.0,0.9469,0.9196,0.7647,0.9102,0.4201,0.1795,0.0263,0.0005,0.4732,0.5268,17900.0,14472.0,17000.0,6500.0,19162.0,15658.0,12500.0,17000.0,17175.0,0.6239,0.0085,0.0393,0.0017,0.0803,0.0342,0.1709,0.0017,0.0112
432,Santa Monica College,90405-1628,21482.0,0.2195,11980.0,0.2696,0.0,0.0,0.6667,0.4426,0.2157,0.137,0.3925,0.2562,0.421,0.0833,0.0013,0.5682,0.4318,5500.0,6750.0,5500.0,6500.0,6450.0,6620.0,8000.0,5871.0,5500.0,0.4753,0.0093,0.0123,0.0031,0.1543,0.1142,0.1019,0.0,0.333
433,Santa Rosa Junior College,95401-4395,12916.0,0.1526,10901.0,0.2808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4192,0.3893,0.0215,0.0051,0.5656,0.4344,7500.0,7725.0,5744.0,6924.0,9500.0,7000.0,8795.0,7500.0,5500.0,0.7143,0.0204,0.0374,0.0,0.1259,0.017,0.0782,0.0068,0.3808
434,Saybrook University,91103,0.0,0.0,2475.0,0.2143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5246,0.0328,0.1148,0.0,0.0656,0.1803,0.082,0.0,0.0
435,Scripps College,91711-3905,1091.0,0.1132,11552.0,0.7795,5.0,0.0,0.0,0.925,0.7778,0.6923,0.814,0.5399,0.1329,0.0385,0.0,1.0,0.0,12250.0,9901.0,12500.0,8000.0,13500.0,0.0,0.0,0.0,0.0,0.51,0.03,0.1,0.03,0.08,0.04,0.13,0.0,0.0046
436,College of the Sequoias,93277-2214,9546.0,0.3496,10564.0,0.4654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1873,0.7107,0.0216,0.0036,0.592,0.408,4750.0,4500.0,4000.0,4500.0,4500.0,4750.0,4861.0,4500.0,3500.0,0.6186,0.014,0.0372,0.0047,0.2326,0.0279,0.0512,0.0,0.2616
437,Shasta Bible College and Graduate School,96002,29.0,0.7419,3600.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7931,0.1724,0.0,0.0,0.4483,0.5517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6207
438,Shasta College,96003,5079.0,0.336,8718.0,0.4018,0.0,0.0,0.125,0.35,0.2072,0.0667,0.2326,0.6283,0.1792,0.0224,0.0195,0.645,0.355,8927.0,9500.0,9000.0,9500.0,14250.0,9500.0,9500.0,9500.0,5500.0,0.8092,0.0,0.0076,0.0,0.1069,0.0229,0.0458,0.0,0.3426
439,Sierra College,95677-3397,12847.0,0.2137,7965.0,0.3207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5423,0.2531,0.0292,0.0057,0.5589,0.4411,9500.0,9500.0,5378.0,9500.0,10500.0,8250.0,10500.0,9500.0,5500.0,0.687,0.0203,0.0732,0.0041,0.0976,0.0407,0.0488,0.0163,0.2678
